dears,deers
foods,foots
Anglo_Saxian,Anglo-Saxon
Asien,Asian
Bolsjevik,Bolshevik
Brittish,British
Buckhingham,Buckingham
Cabinett,Cabinet
Canadan,Canadian
Canadien,Canadian
Canadan,Canadian
Canadean,Canadian
Canadien,Canadian
Carabean,Caribbean
Caribean,Caribbean
Gartha,Carta
Chrismas,Christmas
Commonmarket,Common_Market
Commonweath,Commonwealth
Commonweatlh,Commonwealth
Commonwelth,Commonwealth
Compson-family,Compson_family
Dennish,Danish
dennish,Danish
Dannish,Danish
dannish,Danish
dannis,Danish
Dennis,Danish
denish,Danish
denisch,Danish
Denish,Danish
Dennish,Danish
Dannish,Danish
dennish,Danish
Denish,Danish
Denisch,Danish
denish,Danish
danisch,Danish
Danisch,Danish
deinish,Danish
Denish,Danish
darwinisism,Darwinism
Democrates,Democrats
Danmark,Denmark
datch,Dutch
Dutsch,Dutch
Dutsh,Dutch
Dusch,Dutch
Dutsch,Dutch
Dutsh,Dutch
Dutschman,Dutchman
Dutshman,Dutchman
Duschman,Dutchman
Dutschman,Dutchman
Dutshman,Dutchman
Englismen,Englishmen
Europa,Europe
Europen,European
Finnland,Finland
finnsh,Finnish
Finnich,Finnish
Finnis,Finnish
Finish,Finnish
finish,Finnish
Finnisch,Finnish
finisch,Finnish
Finisch,Finnish
Finish,Finnish
finish,Finnish
finish,Finnish
finish,Finnish
Francise,Franchise
Frensh,French
Grec,Greek
Greec,Greek
Greece,Greek
Greeke,Greek
Greak,Greek
Grec,Greek
Greech,Greek
Greec,Greek
Greece,Greek
Greeke,Greek
Greecs,Greeks
Indien,Indian
Irland,Ireland
Ireish,Irish
Iresh,Irish
Irisish,Irish
Irisch,Irish
Iresman,Irishman
Ireishman,Irishman
Italiens,Italians
Japanise,Japanese
Japaneese,Japanese
Japanease,Japanese
Japanais,Japanese
Japanise,Japanese
Japanisch,Japanese
Japaneese,Japanese
Latin-quarter,Latin_quarter
Liberales,Liberals
Massachusets,Massachusetts
Metodism,Methodism
New_Yourk,New_York
Nixon-affair,Nixon_affair
Norwey,Norway
Norwigen,Norwegian
norwigian,Norwegian
norweigian,Norwegian
Norweigian,Norwegian
Norweigan,Norwegian
norweigan,Norwegian
norveigan,Norwegian
Norwaigan,Norwegian
Norwagan,Norwegian
Norwigian,Norwegian
Norwegan,Norwegian
norweigian,Norwegian
norwegen,Norwegian
Norwegen,Norwegian
Norwaygian,Norwegian
Norweigan,Norwegian
Norweigian,Norwegian
Norwegean,Norwegian
Norwaygian,Norwegian
Norwagian,Norwegian
Norweigan,Norwegian
Norweigian,Norwegian
Norwegean,Norwegian
Norvegian,Norwegian
Norweigan,Norwegian
Pachistani,Pakistani
Pakistanies,Pakistanis
Pakistans,Pakistanis
Pol,Pole
Polve,Pole
Prime-Minister,Prime_Minister
primeminister,Prime_Minister
Privi_Counsil,Privy_Council
Porto_Ricans,Puerto_Ricans
Puertoricans,Puerto_Ricans
Scandenaveans,Scandinavians
Scott,Scot
Scoth,Scot
Scott,Scot
Scotsch,Scotch
Scotsh,Scotch
Scotsch,Scotch
Scotsh,Scotch
scotsh,Scotch
Scotman,Scotchman
Scotchsman,Scotchman
Scotschman,Scotchman
Scotshman,Scotchman
Scotman,Scotchman
Scotschman,Scotchman
Scottsman,Scotchman
Scottsman,Scotsman
Scotich,Scottish
Scottich,Scottish
Scottisch,Scottish
Scotisch,Scottish
Scotish,Scottish
Scotish,Scottish
Scothisch,Scottish
Scottich,Scottish
Scottisch,Scottish
Scotish,Scottish
sisilian,Sicilian
Slaves,Slavs
Suprime,Supreme
Sweed,Swede
sweed,Swede
Sweede,Swede
Sweed,Swede
Sweede,Swede
svedish,Swedish
svedis,Swedish
Svedish,Swedish
swedich,Swedish
Swedesh,Swedish
swedesh,Swedish
Schwedish,Swedish
swidish,Swedish
Svedish,Swedish
Swedesh,Swedish
swedisch,Swedish
Sweedish,Swedish
Swedisch,Swedish
Swedesh,Swedish
Schwedish,Swedish
Svedish,Swedish
Schwedish,Swedish
Swedisch,Swedish
Theran,Teheran
Tames,Thames
Thams,Thames
Turc,Turk
Turke,Turk
Turc,Turk
Turkeish,Turkish
Turkeyisch,Turkish
Turkesh,Turkish
vicepresident,Vice-President
Wigs,Whigs
abbatoir,abattoir
abreviation,abbreviation
abhorence,abhorrence
ablity,ability
abilIty,ability
abbility,ability
abilaty,ability
abilty,ability
abillity,ability
albe,able
abel,able
abLE,able
abel,able
abel,able
abOArd,aboard
abolishion,abolition
abut,about
aboUt,about
abot,about
abowt,about
abOve,above
abrod,abroad
abrOAd,abroad
abrod,abroad
abraod,abroad
absense,absence
absenCE,absence
absents,absence
absense,absence
aBsent,absent
abSent,absent
apsent,absent
absolutEly,absolutely
absolutly,absolutely
absorbe,absorb
absorbant,absorbent
absorbtion,absorption
absURD,absurd
abserd,absurd
abUndance,abundance
abundAnce,abundance
abundence,abundance
aboundance,abundance
abUndant,abundant
abundAnt,abundant
abundent,abundant
abUse,abuse
abouse,abuse
acedemic,academic
academicly,academically
acceed,accede
acellerate,accelerate
acept,accept
ACcept,accept
except,accept
axcept,accept
aCCeptance,acceptance
acceptAnce,acceptance
acceptence,acceptance
acepted,accepted
aCcepted,accepted
excepted,accepted
acess,access
accessability,accessibility
accesible,accessible
accesing,accessing
accesion,accession
ACcident,accident
acCIdent,accident
axcident,accident
accidently,accidentally
accidentaly,accidentally
accomodate,accommodate
accomMOdate,accommodate
accomodate,accommodate
accomodate,accommodate
accomodation,accommodation
accomMOdation,accommodation
accomodation,accommodation
accomodations,accommodations
aCCompanied,accompanied
accompanIEd,accompanied
acompanied,accompanied
accompanimen,accompaniment
aCCompany,accompany
acompany,accompany
accompaning,accompanying
acompaning,accompanying
acomplice,accomplice
aCComplish,accomplish
acomplish,accomplish
aCCordance,accordance
accordAnce,accordance
accordence,accordance
acordance,accordance
acording,according
aCCording,according
acording,according
aCCordingly,accordingly
acordingly,accordingly
acount,account
aCCount,account
acount,account
acounts,accounts
accrude,accrued
acrued,accrued
acumulated,accumulated
acumulated,accumulated
aCCurate,accurate
accurATE,accurate
acurate,accurate
accruately,accurately
acustom,accustom
acCUstomed,accustomed
accustOmed,accustomed
acustomed,accustomed
accustumed,accustomed
aCHe,ache
acke,ache
ake,ache
acieved,achieved
accheived,achieved
acheivement,achievement
achievment,achievement
acknoWledge,acknowledge
acknoledge,acknowledge
aknowledged,acknowledged
acknowledgement,acknowledgment
acquitance,acquaintance
aquantance,acquaintance
acquantance,acquaintance
aCquaintence,acquaintance
acquAIntance,acquaintance
acquaintAnce,acquaintance
